Description,ASIN,Product Description,Manufacturer
" MATERIAL - We use Durable Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.  , Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres.  , Warranty - 6 Month Manufacturer Warranty against Manufacturing Defects  ",B084B1TW3Y,"Get your globe-trotting in full swing with this handy duffel bag, while also carrying your basic essentials. The minimalistic design allows the millennial in you to travel anywhere without any hassles. This versatile duffel bag from Fur Jaden can be carried in your hand or on your shoulders using a Shoulder Strap provided with the Bag. Fret not on your escapades as this will bear the wear and tear of persistent use in the long run. This sturdy duffel bag from Fur Jaden can be taken along with you for those business trips or weekend getaway. The minimalistic design of this duffel bag from Fur Jaden enhances the durable looks of it. Making it so sophisticated yet the versatile functionality of it creates an endless list of possibilities to carry about will keep the on-lookers admiring. Pack your stuff and go on a whimsical adventure to complete your bucket list. For those surprise plans, just grab your valuables and essentials and you will be good to go.","FUR,JADEN"
" Care Instructions: Wipe with Damp Cloth  , Fit Type: regular  , Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>  , USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>  , Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>  , Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>  , Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>  ",B09VTBYNHF,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.","FUR,JADEN"
" Fit Type: regular  , This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.  , Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.  , Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.  , Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.  , FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc  ",B09VCL8D6S,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.","Half,Moon"
" 30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.  , Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. Compatible Laptop Size 16 inch  , Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.  , Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks  , 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty  , Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.  ",B085S444JV,None, Wesley
" Care Instructions: Wipe with Dry Cloth  , SPACIOUS AND LIGHTWEIGHT: 30L CAPACITY Light weight & spacious 3 Compartment with laptop sleeves fits upto 16 Inch laptop, Multi Pockets to keep your essentials. Organizer pockets as per needs. . It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.Made with strong yet light weight polyester fabric with heavy zippers  , ERGONOMIC DESIGN: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body. Stitched properly and Bartacks on every pressure point for extra durability  , 1 YEAR WARRANTY: The Impulse Travel backpack comes with 1 year of warranty  , WATER RESISTANT MATERIAL: The Material ensures resistance to water entering from any direction.  , MADE IN INDIA – Impulse Travel Backpack is fully manufactured in India and pass through stringent quality tests and checks  ",B0CJHSQ27N,"Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs", Impulse
" Care Instructions: Hand Wash Only  , Laptop Compatibility: Yes, Laptop Size: 17 inches  , Outer Material: Polyester, Color: Black  , Weight: 1.20 grams; Dimensions: 53 cms x 32 cms x 27 cms (LxWxH)  , Number of compartments: 1; Warranty type: Manufacturer; 18 months  , Closure Type: Zipper; Special Features: Back Padding; Pocket Description: Utility Pocket; Age Range Description: Adult  ",B0B7GB51Q6,None,Safari
" Care Instructions: Hand Wash Only  , Fit Type: regular  , Outer material: synthetic, color: brown  , Waterproof  , Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)  , Number of compartments: 2  , Laptop compatibility: yes, laptop size: 16strap type: adjustable  ,Anti theft waterproof bag with anti sweat fabric on back and shoulder straps,USB and headphone cable slot,External bottle pocket,Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .",B07G4F6XFH,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Gear
None,None,None,None
None,None,None,None
" Care Instructions: Wipe with Damp Cloth  , Care Instructions: Wipe with Damp Cloth  , Dimensions: 12 inch x 8 inch x 17.5 inch ; Capacity: 35 Ltrs; Number of Compartments: 3 Compartments; Material: Polyester; Water Resistance Level: Water Resistant  ",B07MXL986B,None,ADISA
" Made of multi-coated 600D polyester Material ; Water Repellent  , Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters  , Small Size backpack; Laptop Compatibility: No  , This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more  , With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books  , 6 months limited warranty  ",B088XH1BP7,None, MI
" Made of multi-coated 600D polyester Material ; Water Repellent  , Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters  , Small Size backpack; Laptop Compatibility: No  , This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more  , With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books  , 6 months limited warranty  ",B088XG77KN,None, MI
" Care Instructions: Wipe with Damp Cloth  , Material: Water Resistant Light-Weight Polyester<br>  , Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>  , Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>  , Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>  , Closure Type: Zipper<br>  ",B09TPX22NF,None,ADISA
" PREMIUM QUALITY: Pentagon is a scratch and impact resistant, light weight yet durable suitcase made of polypropylene. This water resistant high quality trendy hard case trolley bag makes travelling comfortable  , DIMENSIONS : Our stylish yet spacious two compartment textured luggage comes in dimension - 55cms x 38cms x 23cms. It has a capacity of 48L .Provided with spacious divider compartment to hold all necessary things while travelling.  , FEATURES & STYLE: Our 4 Wheel Cyan Blue Trolley bag comes with a Number Lock. We provide you a smooth adjustable handle for easy movement of the Trolley. Our small size check in suitcase is a perfect product for all your travel  , Style: Show off with our trendy yet comfortable travel suitcase with 360 degree easy manoeuvrable wheels. Explore the world with our multifunctional suitcase  , 3 YEAR WARRANTY: All our bags are MADE IN INDIA and come with a 3-year International Warranty against manufacturing defects  ",B097QP6L5K,"Pentagon is for every traveller who is looking for smart looking luggage with good utility point. Pentagon, because of its subtle colors and unique pattern, suits every need be it business or leisure travel. The polypropylene shell protects your luggage from scratches and mishandling. The 3 year international Warranty ensures we have got you covered on all your trips.",Safari
" Care Instructions: Hand Wash Only  , Fit Type: regular  , Style: Stay organized all day with this durable and lightweight backpack from Fur Jaden. This 40L large sized weekender back pack is a stylish and functional accessory for men & women. Suitable for working professionals, college and school.  , Anti Theft Pocket: This backpack comes with an anti-theft pocket on the back to store your valuable documents, wallets, keys and other smaller essentials while travelling.  , Ergonomic Design: This large sized backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.  , Dimension: 50 CM (L) x 30 CM (W) x 25 CM (D). Storage Capacity: 40L. Weight: 600 Grams  , Warranty: 1 Year Manufacturer Warranty  ",B0B34WVJ5X,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. It adds admiration to an appealing and daring personality with remarkable aesthetics and functionality. This backpack features an anti-theft pocket on the back. It comes with organizer pockets in the front compartment which helps keep your belongings organized. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has several inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.","FUR,JADEN"
" Care Instructions: Hand Wash Only  , Fit Type: regular  , Well Organized compartment ,Security Back Pocket  ",B0BTD4S4XF,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self", American Tourister
" Fit Type: regular  , Outer Material : Nylon Twill, Color: Pink.  , The backpack is LIGHT WEIGHT yet strong enough to hold your school supplies. The superior quality NYLON TWILL material lends a beautiful shine and soft feel to the backpack.  , Dimensions (LxBxH): 12x8x17 inches, Capacity: 27 Litres, Weight: 440 grams, Water Resistant, Warranty type: Manufacturer; 1 year manufacturer warranty is non-transferable and valid for 1 year from the original date of purchase.  , Number of Compartments: 3 Spacious compartment to keep your essentials like textbooks, stationary, lunchbox etc. It can accommodate upto 12-14 notebook/textbook. One Side Pocket: The backpack provides 1 exterior full fabric side pocket for holding water bottle, clipping pens or pencil or storing other items. Multi Level Organizer: Reduce clutter and organize your school essentials with the multi-level organizer.  , Ergonomic Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.  , EASY GRAB PADDED HANDLE for added comfort and convenience to hold the bag.  , 3 Main Compartment, 1 External Pocket, 2 Side Stash Pockets, Back Padded Mesh  ",B07QHMKHWH,"Give your everyday routine a fresh update with Genie Camellia backpack. With all-over floral print, this backpack will be the style statement as you head off to class and your classmates stare in awe. It is spacious enough to carry all your supplies whilst looking cute.",Genie
" Care Instructions: Hand Wash Only  , Fit Type: regular  , Well Organized compartment ,Security Back Pocket  ",B0BTD4FK9G,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self", American Tourister
" Care Instructions: Hand Wash Only  , Fit Type: regular  , This Anti-Theft Backpack apply anti-theft design technology. Zipper of main pocket is fully hidden in the back of this bag ,no theft will easily open your backpack.  , USB Charge External USB port with built-in charging cable offers a convenient charging of your electronic device anywhere, and this bag do not include a battery, you need a power bank to charge it  , Spacious compartment -- Power bank port -- Water Bottle Pouch  , This Backpack is made of Water Repellent Fabric so now you can travel carefree without worrying about water splashes or rain.  , Size: HxWxD : 47x29x17 CM, Capacity (Liters): 23, Warranty: One Year.  ",B0BZPT6CSK,"Introducing Slope Anti-Theft backpack to secure your essentials. A Multi-functional Laptop bag that has feature-rich updates like Anti-theft, mobile charging port, and a new tech-inspired design making it a prefect bag for laptop to organize your electronics and simplify your life on-the-go..","Arctic,Fox"
" Care Instructions: Hand Wash Only  , Fit Type: regular  , Laptop Compatibility: No, Strap Type: Adjustable,  , Outer Material: Polyester, Color: Black  , Water Resistance: Water resistant, Capacity: 29.5 liters; Dimensions: 33 cms x 22 cms x 51 cms (LxWxH)  , Number of Wheels: 0, Number of compartments: 3  , Mesh Padding on back & shoulder strap to provide comfort & better back support  , Mesh Padding on back & shoulder strap to provide comfort & better back support  ",B0C346XDTN,None, American Tourister
" Innovative Design: This Laptop Case is made of Soft Nylon Material inside which protects your device from scratches and also has foam cushion around which insure 360˚ protection to your laptop.  , Slim Profile: The slim design of Laptop handle sleeve allows men, women, girl, boy, college student you to use as a standalone case and carry only the essentials or place in your bag for added protection and Laptop is safe, easy to access, and glide smoothly and also has Front Accessories Hidden Pocket for your belonging.  , A much Safer Way to Carry Laptop: The Laptop Sleeve Case Cover is made of four layer protective material like Premium Nylon Fabric which protects your accessories from scratches and bumps.  , Designed for most 14 Inch Laptops and Ultrabook’s, Maximum Fit Size, and easy to use, practical design and exquisite workmanship.   , External Dimension: 28 cm X 38 cm X 3.5 cm, Light Weight: 146 Grams  ",B07LFWP97N,None,AirCase
" PADDED LAPTOP COMPARTMENT WITH MAXED OUT STORAGE : Generous 30 Ltrs backpack with Dimension of 35 Cm x 24 Cm x 48 Cm, 2 full size compartments & 2 side pockets, Fits upto 15.6 inches Laptop with elasticated strap lock at just 560 grams.  , CRAFTED WITH PRECISION : Made with strong, water resistant Polyester fabric for a lightweight and durable finish. Our polestar Amaze backpack is a blend of style and utility. A classic design with opulent detailing and aesthetic silhouette adds to your style and keeps your belongings safe.  , COMFORTABLE CARRY : This strong and impervious backpack is a fabulous choice for daily use. Guaranteed for strength and durability, it has padded breathable mesh back and adjustable straps. The interiors have added foam padding to protected electronics. Ergo-Grip Backstraps that distribute weight evenly over your shoulders and back, while the integrated top grab handle lets you move effortlessly.  , BENEFITS: 2 main compartments provide optimal organisation, with premium zippers keeping your valuables protected, 2 side water bottle pockets help keep your goods dry and body hydrated.  , VERSATILITY : This made in india versatile backpack comes with 12 months warranty, and is perfect for everyone, men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks. All in one AMAZE BACKPACK by Polestar.  ",B07G7BHDHF,"This quality casual day pack comes without any bells and whistles. The clean silhouette is fashionable and modern while still having a heritage feel. There’s nothing complicated on this bag, just a 2 spacious main chamber for books and binders plus a laptop compartment . Back small zipper pocket for tiny things . The product is made from polyester on the inside and outside It features : Lite in weight backpack with spacious compartments, soft shell, zipper closure, shoulder strap and is targeted towards both the genders",POLESTAR
" Protect your laptop with a padded laptop compartment. This backpack is comfortable, durable, yet delightfully lightweight letting you take your entire setup wherever you want to work.  , Carrying the world on your shoulders never felt so light and stylish with this one-bag travel companion. And when you need more room, just unzip and expand up to 21L of capacity. With that much space, you're good to go for at least a weekend.  , Pack up all your tech with room to spare and slip your roller bag handle through the luggage passthrough to get on your way. There’s plenty of room to take your entire setup with you, with padded straps to keep you comfortable on the go.  , Your entire setup is coming with you. Slip your laptop through the top zipper into its dedicated enclosure, pack everything in the perfect pocket—mouse, power cable, keyboard—and hit the road or wherever you’re going. Now you have what it takes to take it all.  , Take your tech around town in the one bag that holds it all. Whether you’re working from home or the office, in a café or meeting, here or anywhere—you’ll need a lightweight backpack with the pockets, protection, and comfort to keep you moving. Open the possibilities of productivity.  ",B0BYDXVM5Q,None, HP
None,None,None,None
" Innovative Design: This Laptop Case is made of soft puffy fabric inside which protect your device from scratches and also has 3D foam cushion around which insure 360 ̊ protection to your laptop.  , Slim Profile: The slim design of Laptop sleeve allows men, women, girl, boy, college student you to use as a standalone case.  , Carry only the essentials or place in your bag for added protection and computer is safe, easy to access, and glide smoothly.  , Laptop Sleeve Case Cover is made of 4 layer protective material like High elastic canvas fabric,water-resistance neoprene,Impact-resistance neoprene,soft fluffy fabric.  , COMPATIBLE for all the major brands of 15.6-Inches Laptops  ",B07Z1YVP72,None,AirCase
" Fit Type: regular  , Material: Water Resistant Light-Weight Polyester  , Compartments: 2 (padded) + 1 front easy-access pocket  , Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended)  , Dimensions: LxWxH- 31 x 20 x 47 cms  , Adjustable Padded Shoulder straps / 2 Bottle holders / Padded Top-handle / Reflector Logo  ",B0BX3QFVSM,"Light weight and spacious casual backpack with 2 compartments and 1 front easy-access pocket. The front and back of the backpack are fully padded for cushioning. It has organiser for pens, visiting cards, etc along with space for carrying papers, files, books, etc. It is spacious enough to keep all your stuff. It has provision for holding bottles/unmrella on both sides and has adjustable padded shoulder straps for your comfort. The logo of the bag is Reflective so it will glow when light hits it which is a very important safety feature, specially when on road.",ADISA
" Care Instructions: Hand Wash Only  , Material: This bag is made from high quality Nylon with polyester lining which is waterproof.; (Lx W x H) 38 cm x 26.7 cm x 51 cm. Unisex backpack for men and women<br> <br>  , Compartments: 4 compartments including 1 main compartment for 15.6 inch laptop, 2 zippers at side, 1 anti-theft zipper at back keeping your wallet, cards and phone safe, 2 additional water pouches, Multiple interior slot pocket for your other belonging such as notebook, tablet, phones, water bottle. USB charging slot with ear phone hole<br> <br>  , Capacity: 35-45 litres capacity used for daily office goers. Also used as travelling, hiking, trekking backpack<br> <br>  , Accurate air bubbles reduces excess weight and stress by 55 % on your shoulders and Back tough air mesh cushion supports your spinal during long go<br> <br>  , Compartment Description: Up To 15 Inches; Pattern Name: Solid; Pocket Description: Utility Pocket; Age Range Description: Adult <br>  ",B07XYTZP4Z,None,"Red,Lemon"
